slide_number,title,ost
9,What is a Tester,"What is a Tester Test the IC – Often called DUT or Device Under Test. Provides input (or stimulus) to the DUT and compares its response The stimulus and measurements are conveyed through DUT pins – Inputs , Outputs or bi-directional IO’s (pins that can receives input stimulus as well as provide an output response) Has resources for various types of DUT pins Digital DC/Power – Voltage and Current RF – Radio Frequency Analog / DSP (Digital signal Processing ) Is Operated through software control what is called a test programProvides high throughput – can test multiple pins and DUTs simultaneously "
10,Tester Types,"Tester Types Older testers were dedicated for specific IC Types –Digital Testers Memory Testers Analog Testers Mixed Signal Testers Rack and Stack Modern Testers can test ICs that have a higher level of integration For example , a single IC today can have Digital , Memory  , Mixed Signal and Analog Functionality – referred to as a System on Chip . These testers are called SOC testers with “insurance” to test various DUT functions."
19,Package testing,"Package testing WLCSP – Wafer Level chip scale package Packaging completed at the wafer level , include contact pads. Allow testing at the wafer level . Considered as “final” testing. Eliminates one test process .  Compared with traditional , wafer probe + final test."
18,Evolution of package testing,"Evolution of package testing Recent package development has introduced two new types of testing process –Strip Test WLCSPStrip Testing – refers to the process whereby semiconductor devices are electrically tested while they are still in their lead frame strips. Advantages –Include testing as part of the assembly process. Capable of handling huge multi- sites testing. Instead of multiple insertions , only need one single frame insertion"
15,Test Program vs Datasheet,"Test Program vs Datasheet Test - program are written by Test Engineer , and in accordance with Product Engineer’s document called Test Plan or Test Specification. The device test-specifications are derived from specification document , called “Device Datasheet”. When creating the test plan , the product engineer will consider : Criticality versus the testability of the Data sheet space. Technical capability of the targeted ATR System. Budgeted cost of test – typically translates into test time of a single DUT. Hence it is important for Test engineer to read and understand device datasheet – which is the foundation for the test plan."
14,Tester Software,"Tester Software  Tester Software includes multiple functions & ToolsBuilt-in tools for creating test programs. Runtime software for controlling hardware. API library to control tester instruments. Tools for debug , integration , and characterization of test program. Network tools for communication with control software and other members of test cell. Software tools to analyze test results. User Interface commands basic interface template , which customer can customized or even to integrated into their manufacture environment"
1,What is Semiconductor,"What is Semiconductor Semiconductor is a material that lies between the two extension – A Conductor , which conducts current. An Insulator , which prevents current flow.Since it’s properties can be tuned , semiconductors are versatile for making electronic devices. The devices made from semiconductors are called Integrated Circuits.(IC for short). The semiconductor industry has grown significantly over time from simple transistors in 1947 to over a $500B Industry today 2021."
2,Semiconductor Process,"Semiconductor Process Semiconductor Process covers – IC Design Front End : Fabrication of Wafers. Back End : Assembly , Packaging and Testing.Front End can include testing before cutting / dicing of Wafer – This is called Wafer sort or Wafer testing . At the Back End , testing is done after assembly and packaging – This is called Final Test."
6,Value of Test,"Value of Test Why test devices if you end up throwing some out negative valueThe cost of returned devices is much higher. Miniaturization complicates board rework , if need to replace bad device. Manufacturer’s reputation is important due to competition. Consumer market expectations of high-quality product."
17,Software to interface with Handler,"Software to interface with Handler  There are 3 types of communication links between Tester to Handler / Prober: RS232(serial type digital interface) Parallel Interface General purpose Interface BusType of interface Communication between tester and handler is handled via a separate software package that comes with the equipment. On Cohu platform , this package is called CURI.CURI stands for Cross platform Unified Robot Interface. It requires a configuration file to configure the communication setup for a specific handler. Example prober makes are TEL , TSK and OPUS.Example Handler make are Delta , Ismeca , Seiko-Espon , MCT."
